TransactionID,CustomerID,TransactionDate,CustomerAge,Gender,State,City,ProductCategory,ProductName,Quantity,UnitPrice,TotalAmount,PaymentMethod
T100126,C1157,2025-01-16,49.0,Male,CA,Sacramento,Clothing,Running Shoes,3.0,85.35,256.05,Credit Card
T100956,C1277,2025-03-14,62.0,Male,OH,Cleveland,Beauty,Perfume,1.0,64.06,64.06,Credit Card
T100798,C1001,2025-04-29,62.0,Female,NY,New York City,Books,Self-Help Guide,5.0,14.29,71.45,Debit Card
T100438,C1116,2025-10-22,20.0,Female,GA,Augusta,Clothing,Denim Jeans,4.0,43.67,174.68,Credit Card
T100259,C1030,2025-08-25,43.0,Male,WA,Tacoma,Home & Kitchen,Blender,3.0,153.32,459.96,PayPal
T100384,C1330,2025-04-07,49.0,Male,NY,Buffalo,Electronics,Wireless Earbuds,4.0,69.34,277.36,Gift Card
T100405,C1250,2025-03-28,28.0,Male,FL,Miami,Books,Cookbook,6.0,11.7,70.2,Debit Card
T100215,C1212,2025-02-13,62.0,Male,PA,Erie,Beauty,Shampoo Set,1.0,17.91,17.91,Credit Card
T100411,C1021,2025-02-10,39.0,Female,NC,Charlotte,Sports & Outdoors,Dumbbell Set,3.0,34.34,103.02,PayPal
T100050,C1325,2025-01-10,31.0,Male,PA,Erie,Beauty,Shampoo Set,2.0,15.3,30.6,Debit Card
T100968,C1244,2025-09-07,53.0,Female,TX,Houston,Home & Kitchen,Cookware Set,7.0,51.22,358.54,PayPal
T100416,C1057,2025-06-27,26.0,Male,CA,San Francisco,Books,Mystery Novel,4.0,8.63,34.52,Credit Card
T100610,C1180,2025-02-06,71.0,Female,NC,Charlotte,Beauty,Shampoo Set,3.0,204.54500000000002,613.64,Cash
T100883,C1291,2025-09-26,33.0,Female,FL,Tampa,Books,Cookbook,4.0,11.97,47.88,Gift Card
T100588,C1184,2025-04-19,46.0,Female,OH,Cleveland,Beauty,Face Moisturizer,2.0,49.75,99.5,Gift Card
T100420,C1096,2025-10-05,31.0,Female,PA,Erie,Home & Kitchen,Cookware Set,3.0,113.85,341.55,Credit Card
T100124,C1119,2025-05-28,24.0,Female,WA,Seattle,Beauty,Makeup Kit,7.0,25.93,181.51,Cash
T100516,C1252,2025-03-17,28.0,Female,PA,Pittsburgh,Sports & Outdoors,Water Bottle,3.0,79.21,237.63,Credit Card
T100003,C1265,2025-06-21,51.0,Female,NY,Albany,Electronics,Phone Charger,1.0,204.54500000000002,204.54,Debit Card
T100129,C1061,2025-03-19,60.0,Female,PA,Philadelphia,Beauty,Face Moisturizer,2.0,22.74,45.48,Credit Card
T100560,C1012,2025-04-27,59.0,Female,GA,Augusta,Home & Kitchen,Cookware Set,3.0,42.81,128.43,Cash
T100373,C1088,2025-10-18,46.0,Female,PA,Pittsburgh,Electronics,Wireless Earbuds,5.0,110.72,553.6,Credit Card
T100509,C1150,2025-09-13,46.0,Male,OH,Cincinnati,Toys,Building Blocks,9.5,46.57,442.42,Debit Card
T100269,C1336,2025-03-27,72.0,Female,FL,Miami,Sports & Outdoors,Camping Tent,4.0,119.64,478.56,Credit Card
T100786,C1155,2025-08-06,55.0,Male,FL,Miami,Home & Kitchen,Blender,3.0,112.05,336.15,Debit Card
T100466,C1194,2025-08-29,72.0,Male,NY,New York City,Electronics,USB Drive,2.0,120.86,241.72,Credit Card
T100566,C1227,2025-10-07,51.0,Female,IL,Springfield,Beauty,Face Moisturizer,2.0,59.76,119.52,Credit Card
T100020,C1035,2025-05-01,21.0,Female,PA,Pittsburgh,Toys,Action Figure,4.0,11.38,45.52,Credit Card
T100272,C1287,2025-09-24,50.0,Female,TX,Austin,Home & Kitchen,Coffee Maker,3.0,132.6,397.8,Credit Card
T100569,C1319,2025-07-12,61.0,Male,IL,Chicago,Home & Kitchen,Air Fryer,3.0,71.57,214.71,Credit Card
T100113,C1233,2025-04-08,61.0,Female,GA,Atlanta,Sports & Outdoors,Camping Tent,1.0,25.91,25.91,Gift Card
T100022,C1130,2025-06-22,50.0,Male,FL,Miami,Home & Kitchen,Vacuum Cleaner,2.0,77.9,155.8,Credit Card
T100576,C1122,2025-07-17,55.0,Male,PA,Pittsburgh,Electronics,Wireless Earbuds,6.0,58.04,348.24,Credit Card
T100191,C1210,2025-01-27,32.0,Male,NC,Raleigh,Toys,Board Game,6.0,53.8,322.8,PayPal
T100425,C1296,2025-10-05,66.0,Male,GA,Atlanta,Books,Self-Help Guide,3.0,21.75,65.25,PayPal
T100812,C1031,2025-06-17,30.0,Male,FL,Tampa,Electronics,Smartwatch,4.0,136.59,546.36,Credit Card
T100900,C1248,2025-06-26,62.0,Female,PA,Pittsburgh,Books,Self-Help Guide,4.0,20.37,81.48,PayPal
T100224,C1161,2025-07-06,46.0,Female,PA,Philadelphia,Electronics,Bluetooth Speaker,4.0,62.19,248.76,Debit Card
T100953,C1042,2025-06-30,57.0,Female,CA,San Francisco,Home & Kitchen,Vacuum Cleaner,3.0,57.61,172.83,Credit Card
T100170,C1133,2025-08-30,49.0,Female,PA,Philadelphia,Beauty,Makeup Kit,1.0,59.02,59.02,PayPal
T100980,C1208,2025-06-19,33.0,Female,CA,Sacramento,Toys,Building Blocks,6.0,16.21,97.26,Debit Card
T100152,C1016,2025-06-25,46.0,Female,PA,Pittsburgh,Beauty,Perfume,5.0,45.47,227.35,Credit Card
T100283,C1328,2025-02-10,26.0,Female,GA,Savannah,Clothing,Winter Jacket,2.0,61.5,123.0,Cash
T100468,C1328,2025-04-21,26.0,Female,GA,Augusta,Electronics,Wireless Earbuds,1.0,142.06,142.06,Cash
T100805,C1125,2025-04-26,50.0,Male,IL,Naperville,Toys,Board Game,5.0,47.11,235.55,Debit Card
T100418,C1116,2025-07-19,20.0,Female,GA,Augusta,Clothing,Wool Sweater,9.5,82.17,780.62,Debit Card
T100308,C1043,2025-02-08,38.0,Male,GA,Augusta,Home & Kitchen,Vacuum Cleaner,3.0,204.54500000000002,613.64,Credit Card
T100701,C1043,2025-06-14,46.0,Male,GA,Atlanta,Books,Cookbook,8.0,6.61,52.88,PayPal
T100348,C1117,2025-03-17,25.0,Female,FL,Orlando,Beauty,Makeup Kit,2.0,23.24,46.48,PayPal
T100542,C1275,2025-08-16,45.0,Male,WA,Tacoma,Clothing,T-Shirt Pack,3.0,34.9,104.7,PayPal
T100154,C1151,2025-06-05,34.0,Female,OH,Cincinnati,Sports & Outdoors,Camping Tent,1.0,59.13,59.13,Debit Card
T100863,C1246,2025-02-13,61.0,Female,NY,Buffalo,Books,Self-Help Guide,6.0,14.73,88.38,PayPal
T100556,C1165,2025-02-14,64.0,Male,FL,Miami,Home & Kitchen,Coffee Maker,3.0,79.08,237.24,PayPal
T100793,C1255,2025-03-15,26.0,Male,GA,Savannah,Clothing,T-Shirt Pack,1.0,27.66,27.66,Debit Card
T100167,C1326,2025-06-21,31.0,Female,NC,Charlotte,Toys,Action Figure,4.0,27.86,111.44,Gift Card
T100245,C1286,2025-10-18,27.0,Male,TX,Austin,Clothing,Running Shoes,1.0,49.59,49.59,Credit Card
T100806,C1007,2025-04-26,46.0,Male,TX,Dallas,Clothing,Winter Jacket,3.0,53.47,160.41,Debit Card
T100664,C1086,2025-09-09,23.0,Male,TX,Austin,Sports & Outdoors,Dumbbell Set,3.0,119.06,357.18,Credit Card
